id,text,lang
1,Sample tweet 1,en
2,Sample tweet 2,en
3,Sample tweet 3,en
4,Sample tweet 4,en
5,Sample tweet 5,en
6,Sample tweet 6,en
7,Sample tweet 7,en
8,Sample tweet 8,en
9,Sample tweet 9,en
10,Sample tweet 10,en
11,Sample tweet 11,en
12,Sample tweet 12,en
13,Sample tweet 13,en
14,Sample tweet 14,en
15,Sample tweet 15,en
16,Sample tweet 16,en
17,Sample tweet 17,en
18,Sample tweet 18,en
19,Sample tweet 19,en
20,Sample tweet 20,en
21,Sample tweet 21,en
22,Sample tweet 22,en
23,Sample tweet 23,en
24,Sample tweet 24,en
25,Sample tweet 25,en
26,Sample tweet 26,en
27,Sample tweet 27,en
28,Sample tweet 28,en
29,Sample tweet 29,en
30,Sample tweet 30,en
31,Sample tweet 31,en
32,Sample tweet 32,en
33,Sample tweet 33,en
34,Sample tweet 34,en
35,Sample tweet 35,en
36,Sample tweet 36,en
37,Sample tweet 37,en
38,Sample tweet 38,en
39,Sample tweet 39,en
40,Sample tweet 40,en
41,Sample tweet 41,en
42,Sample tweet 42,en
43,Sample tweet 43,en
44,Sample tweet 44,en
45,Sample tweet 45,en
46,Sample tweet 46,en
47,Sample tweet 47,en
48,Sample tweet 48,en
49,Sample tweet 49,en
50,Sample tweet 50,en
51,Sample tweet 51,en
52,Sample tweet 52,en
53,Sample tweet 53,en
54,Sample tweet 54,en
55,Sample tweet 55,en
56,Sample tweet 56,en
57,Sample tweet 57,en
58,Sample tweet 58,en
59,Sample tweet 59,en
60,Sample tweet 60,en
61,Sample tweet 61,en
62,Sample tweet 62,en
63,Sample tweet 63,en
64,Sample tweet 64,en
65,Sample tweet 65,en
66,Sample tweet 66,en
67,Sample tweet 67,en
68,Sample tweet 68,en
69,Sample tweet 69,en
70,Sample tweet 70,en
71,Sample tweet 71,en
72,Sample tweet 72,en
73,Sample tweet 73,en
74,Sample tweet 74,en
75,Sample tweet 75,en
76,Sample tweet 76,en
77,Sample tweet 77,en
78,Sample tweet 78,en
79,Sample tweet 79,en
80,Sample tweet 80,en
81,Sample tweet 81,en
82,Sample tweet 82,en
83,Sample tweet 83,en
84,Sample tweet 84,en
85,Sample tweet 85,en
86,Sample tweet 86,en
87,Sample tweet 87,en
88,Sample tweet 88,en
89,Sample tweet 89,en
90,Sample tweet 90,en
91,Sample tweet 91,en
92,Sample tweet 92,en
93,Sample tweet 93,en
94,Sample tweet 94,en
95,Sample tweet 95,en
96,Sample tweet 96,en
97,Sample tweet 97,en
98,Sample tweet 98,et
99,Sample tweet 99,und
100,Sample tweet 100,und
