id,text,lang
1,RT @DataCamp Learning Python is fun!,en
2,Just finished my first project,en
3,RT @TechNews Breaking: New Python version released,en
4,Check out this amazing tutorial on data science,en
5,RT @PythonTips Using lambda functions makes code cleaner,en
6,Data analysis is my favorite part of programming,en
7,RT @CodeDaily Don't forget to handle your errors,en
8,Working with DataFrames all day,en
9,RT @Analytics Filter data like a pro,en
10,Excited to learn about error handling in Python,en
11,RT @DevTools The best practices for clean code,en
12,Building a web scraper with Python,en
13,RT @DataScience Machine learning is transforming industries,en
14,Lambda functions and filtering make data processing easier,en
15,RT @ProgrammingHumor Why do Python developers never get tired,en
